Method,Rep,Dim,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s,Depth,TwoQ
AE-SWAP,0,8,0.2,-,-,1024,0.2209708691207961,0.0209708691207961,7.126438140869141,187.0,65.0
Phase-Hash (SWAP),0,8,0.2,4,2,1024,0.04269650310687825,0.15730349689312176,18.953437328338623,103.0,34.0
AE-SWAP,0,8,0.5,-,-,1024,0.426193178030808,0.07380682196919203,5.2433390617370605,171.0,62.0
Phase-Hash (SWAP),0,8,0.5,4,2,1024,0.040131090381403015,0.459868909618597,9.637134313583374,98.5,35.5
AE-SWAP,0,8,0.7,-,-,1024,0.5896238207535377,0.11037617924646226,5.059009075164795,187.0,65.0
Phase-Hash (SWAP),0,8,0.7,4,2,1024,0.021373836157438087,0.6786261638425619,9.707472562789917,98.5,34.0
AE-SWAP,0,8,0.9,-,-,1024,0.7355376434962387,0.1644623565037613,4.483851432800293,187.0,65.0
Phase-Hash (SWAP),0,8,0.9,4,2,1024,0.8785926443606774,0.02140735563932261,9.482821464538574,90.5,33.0
