Method,TrueCos,m,E,EstCos,AbsErr,Time_s
PhaseHash,0.2,4,2,0.7196657406612156,0.5196657406612155,0.10492396354675293
PhaseHash,0.5,4,2,0.9311510107686876,0.43115101076868756,0.09648561477661133
PhaseHash,0.7,4,2,0.9311510107686876,0.2311510107686876,0.0966179370880127
PhaseHash,0.9,4,2,1.0,0.09999999999999998,0.09715127944946289
