Method,Rep,Dim,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s,Depth,TwoQ
Phase-Hash (SWAP),0,128,0.2,64,16,4096,0.12355054566160442,0.07644945433839559,183.3915958404541,798.8125,448.5625
Phase-Hash (SWAP),0,128,0.5,64,16,4096,0.19490865527993514,0.3050913447200648,227.93837594985962,800.6875,448.6875
Phase-Hash (SWAP),0,128,0.7,64,16,4096,0.19605872302819313,0.5039412769718068,192.95459532737732,795.3125,448.6875
Phase-Hash (SWAP),0,128,0.9,64,16,4096,0.18844726612722285,0.7115527338727772,191.5000832080841,799.125,448.6875
