Method,Rep,Dim,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s,Depth,TwoQ
AE-SWAP,0,128,0.2,-,-,4096,0.0,0.2,7.26997447013855,1277,797
AE-SWAP,0,128,0.5,-,-,4096,0.03125,0.46875,6.042616605758667,1213,830
AE-SWAP,0,128,0.7,-,-,4096,0.0,0.7,6.820398569107056,1467,806
AE-SWAP,0,128,0.9,-,-,4096,0.0,0.9,6.078158855438232,1426,806
