true_cos,est_cos,error,n,m
-0.009979580009700367,0.24298017990326398,0.2529597599129644,256,64
-0.005989644384066545,-0.14673047445536164,0.1407408300712951,256,64
-0.07176443474267183,0.09801714032956077,0.1697815750722326,256,64
0.0056300356966441254,0.09801714032956077,0.09238710463291665,256,64
-0.003753722571013085,0.09801714032956077,0.10177086290057386,256,64
0.015574644307122593,0.24298017990326398,0.22740553559614138,256,64
0.010502321219103036,-0.1950903220161282,0.20559264323523124,256,64
0.008768606034336164,-0.6343932841636454,0.6431618901979815,256,64
-0.03506711424341866,-0.1950903220161282,0.16002320777270954,256,64
0.0032849227715583407,-0.1950903220161282,0.19837524478768653,256,64
-0.08890498041886874,0.14673047445536175,0.2356354548742305,256,64
-0.07189862887628136,6.123233995736766e-17,0.07189862887628141,256,64
-0.001442933063115253,-0.14673047445536164,0.1452875413922464,256,64
-0.0028034550723962243,0.33688985339222005,0.33969330846461626,256,64
-0.029617085241118675,-0.14673047445536164,0.11711338921424297,256,64
-0.10739809579251097,0.049067674327418126,0.1564657701199291,256,64
0.0458508134623755,6.123233995736766e-17,0.04585081346237544,256,64
-0.03787926214467281,0.29028467725446233,0.32816393939913513,256,64
0.00956435810926468,0.19509032201612833,0.18552596390686366,256,64
-0.024612953020721695,-0.1950903220161282,0.1704773689954065,256,64
-0.018131065345110064,0.33688985339222005,0.3550209187373301,256,64
-0.08649663280277228,0.09801714032956077,0.18451377313233305,256,64
0.01753079957910543,-0.04906767432741801,0.06659847390652343,256,64
0.003365464151734776,0.19509032201612833,0.19172485786439356,256,64
-0.13965823231499042,6.123233995736766e-17,0.13965823231499047,256,64
-0.022052845801755663,0.09801714032956077,0.12006998613131643,256,64
-0.02625984430312424,-0.14673047445536164,0.1204706301522374,256,64
0.040636183187210025,-0.14673047445536164,0.18736665764257165,256,64
-0.19686542477619628,0.29028467725446233,0.4871501020306586,256,64
-0.08312218201297578,0.5141027441932217,0.5972249262061975,256,64
0.02100516239308737,0.24298017990326398,0.22197501751017662,256,64
-0.03796901311913083,-0.04906767432741801,0.011098661208287175,256,64
-0.03053322289197727,-0.1950903220161282,0.16455709912415092,256,64
-0.06812540048994371,-0.09801714032956065,0.029891739839616932,256,64
0.030052094623469527,0.19509032201612833,0.1650382273926588,256,64
-0.006307573612220136,-0.04906767432741801,0.04276010071519787,256,64
-0.04003036170784433,0.09801714032956077,0.1380475020374051,256,64
0.10120106641567617,-0.3826834323650897,0.4838844987807659,256,64
0.03317299060625974,0.049067674327418126,0.015894683721158383,256,64
-0.008818762122506239,0.049067674327418126,0.05788643644992436,256,64
0.03582958746718815,0.19509032201612833,0.15926073454894019,256,64
-0.08816254590776472,0.19509032201612833,0.28325286792389304,256,64
-0.10607084418941362,-0.29028467725446216,0.18421383306504854,256,64
-0.007663776798410004,0.19509032201612833,0.20275409881453835,256,64
0.061879492461684824,-0.33688985339221994,0.3987693458539048,256,64
0.12866550753948658,-0.04906767432741801,0.1777331818669046,256,64
0.015136290325717255,0.09801714032956077,0.08288085000384351,256,64
-0.01659037679889159,6.123233995736766e-17,0.01659037679889165,256,64
-0.016348226817981537,0.09801714032956077,0.11436536714754231,256,64
-0.006893748431995427,0.14673047445536175,0.15362422288735716,256,64
-0.03170117905128171,0.049067674327418126,0.08076885337869984,256,64
-0.05026712395986457,0.14673047445536175,0.19699759841522632,256,64
-0.015029490375960594,6.123233995736766e-17,0.015029490375960654,256,64
0.03443055925723101,0.049067674327418126,0.01463711507018712,256,64
0.0452845817458834,-0.09801714032956065,0.14330172207544406,256,64
-0.07479074280556403,0.19509032201612833,0.2698810648216924,256,64
-0.03704953454317453,0.19509032201612833,0.23213985655930286,256,64
-0.013671948709885876,-0.04906767432741801,0.03539572561753213,256,64
-0.015275036099175951,0.29028467725446233,0.3055597133536383,256,64
0.026466403475288773,0.09801714032956077,0.07155073685427199,256,64
0.12468177238071779,0.049067674327418126,0.07561409805329966,256,64
-0.1055872519501323,-0.24298017990326387,0.13739292795313157,256,64
0.0204972306141634,-0.14673047445536164,0.16722770506952503,256,64
-0.05484159703218276,-0.04906767432741801,0.005773922704764754,256,64
0.06505892474293404,0.049067674327418126,0.015991250415515912,256,64
-0.011325909894985064,0.049067674327418126,0.06039358422240319,256,64
-0.03673496166995983,0.24298017990326398,0.2797151415732238,256,64
-0.0007437492442583203,-0.04906767432741801,0.04832392508315969,256,64
0.06111727045385734,-0.04906767432741801,0.11018494478127536,256,64
-0.1491627954065718,0.14673047445536175,0.29589326986193354,256,64
0.07470197717812936,6.123233995736766e-17,0.0747019771781293,256,64
-0.029816267945961088,-0.04906767432741801,0.01925140638145692,256,64
0.0059666863533968904,-0.33688985339221994,0.3428565397456168,256,64
0.005827648333268893,0.09801714032956077,0.09218949199629188,256,64
-0.07848698137411718,6.123233995736766e-17,0.07848698137411723,256,64
0.035906338957370616,0.4275550934302822,0.3916487544729116,256,64
0.09012756356586547,0.09801714032956077,0.007889576763695297,256,64
0.10056609585758373,-0.04906767432741801,0.14963377018500174,256,64
-0.021456462995735785,0.09801714032956077,0.11947360332529655,256,64
0.005348380273018205,-0.09801714032956065,0.10336552060257885,256,64
-0.024160055601631335,0.09801714032956077,0.12217719593119211,256,64
-0.028056714246431948,-0.14673047445536164,0.1186737602089297,256,64
0.04908386456312319,0.4275550934302822,0.378471228867159,256,64
0.09837786447917087,-0.1950903220161282,0.29346818649529904,256,64
0.04916507778435329,-0.29028467725446216,0.33944975503881547,256,64
0.04842198483986142,-0.24298017990326387,0.2914021647431253,256,64
-0.037574209830913405,0.14673047445536175,0.18430468428627517,256,64
-0.07618707048907393,0.14673047445536175,0.22291754494443566,256,64
-0.11720754480108028,-0.24298017990326387,0.1257726351021836,256,64
0.042629537662238356,-0.29028467725446216,0.33291421491670053,256,64
-0.039612317337164284,0.19509032201612833,0.2347026393532926,256,64
0.008361982998120899,0.14673047445536175,0.13836849145724084,256,64
-0.03487056270593766,-0.42755509343028186,0.39268453072434417,256,64
0.006147618197410362,-0.29028467725446216,0.29643229545187255,256,64
