n,m,MAE
64,16,0.31714797587270144
64,32,0.23711250882071627
128,32,0.2279755440790424
128,64,0.16943652437103482
256,64,0.16164831958401452
256,128,0.12026785839904637
512,128,0.11585154390727298
512,256,0.08596549467065606
1024,256,0.08206908640794174
1024,512,0.06121006370735317
