Method,Rep,TrueCos,m,E,Shots,EstCos,AbsErr,Time_s
AE-SWAP,8,0.9,-,-,4096,0.9054414496531512,0.005441449653151187,1.1557214260101318
Phase-Hash (SWAP),8,0.9,128,32,4096,0.8947162157278755,0.005283784272124503,1.56233549118042
AE-SWAP,9,0.2,-,-,4096,0.1711632992203644,0.0288367007796356,1.1654410362243652
Phase-Hash (SWAP),9,0.2,128,32,4096,0.2564245324218625,0.05642453242186252,2.22416353225708
AE-SWAP,9,0.5,-,-,4096,0.49063495212836195,0.009365047871638055,1.194394588470459
Phase-Hash (SWAP),9,0.5,128,32,4096,0.521580068021126,0.021580068021125998,1.6086583137512207
AE-SWAP,9,0.7,-,-,4096,0.6896273903348097,0.010372609665190269,1.1859307289123535
Phase-Hash (SWAP),9,0.7,128,32,4096,0.7085893604051738,0.008589360405173885,2.5957562923431396
AE-SWAP,9,0.9,-,-,4096,0.9019293556038632,0.0019293556038632032,1.2256126403808594
Phase-Hash (SWAP),9,0.9,128,32,4096,0.9006917266497031,0.0006917266497030727,2.4712727069854736
